wavelength (nm)	March 20th	June 21st
580	5.12E-02	2.56E-02
581	5.15E-02	2.58E-02
582	5.25E-02	2.64E-02
583	5.27E-02	2.65E-02
584	5.32E-02	2.68E-02
585	5.20E-02	2.62E-02
586	5.10E-02	2.57E-02
587	5.23E-02	2.63E-02
588	5.15E-02	2.58E-02
589	4.64E-02	2.31E-02
590	4.85E-02	2.41E-02
591	5.10E-02	2.55E-02
592	5.07E-02	2.53E-02
593	5.13E-02	2.56E-02
594	5.12E-02	2.56E-02
595	5.03E-02	2.51E-02
596	5.17E-02	2.59E-02
597	5.14E-02	2.57E-02
598	5.12E-02	2.57E-02
599	5.13E-02	2.57E-02
600	5.13E-02	2.58E-02
601	5.08E-02	2.56E-02
602	5.05E-02	2.54E-02
603	5.14E-02	2.59E-02
604	5.23E-02	2.63E-02
605	5.21E-02	2.62E-02
606	5.20E-02	2.62E-02
607	5.26E-02	2.66E-02
608	5.21E-02	2.64E-02
609	5.23E-02	2.65E-02
610	5.19E-02	2.63E-02
611	5.22E-02	2.65E-02
612	5.21E-02	2.65E-02
613	5.15E-02	2.62E-02
614	5.08E-02	2.59E-02
615	5.20E-02	2.65E-02
616	5.04E-02	2.57E-02
617	5.03E-02	2.57E-02
618	5.23E-02	2.67E-02
619	5.18E-02	2.65E-02
620	5.22E-02	2.67E-02
621	5.23E-02	2.67E-02
622	5.14E-02	2.61E-02
623	5.03E-02	2.54E-02
624	4.97E-02	2.52E-02
625	4.99E-02	2.54E-02
626	5.09E-02	2.59E-02
627	5.17E-02	2.63E-02
628	4.92E-02	2.44E-02
629	5.10E-02	2.57E-02
630	4.99E-02	2.52E-02
631	5.09E-02	2.59E-02
632	5.05E-02	2.58E-02
633	5.20E-02	2.67E-02
634	5.15E-02	2.65E-02
635	5.24E-02	2.70E-02
636	5.16E-02	2.67E-02
637	5.25E-02	2.72E-02
638	5.30E-02	2.75E-02
639	5.25E-02	2.73E-02
640	5.21E-02	2.71E-02
641	5.21E-02	2.72E-02
642	5.19E-02	2.71E-02
643	5.27E-02	2.75E-02
644	5.26E-02	2.75E-02
645	5.28E-02	2.76E-02
646	5.19E-02	2.71E-02
647	5.19E-02	2.70E-02
648	5.22E-02	2.71E-02
649	5.13E-02	2.67E-02
