R	G	B	L	M	S
1.760000000000000000e+02	0.000000000000000000e+00	0.000000000000000000e+00	1.889316744980530094e-01	5.496516991347941139e-02	2.002941547455751296e-10
2.040000000000000000e+02	0.000000000000000000e+00	0.000000000000000000e+00	2.684004218375484196e-01	8.112149635699376915e-02	2.979006674893178424e-03
2.040000000000000000e+02	0.000000000000000000e+00	1.020000000000000000e+02	2.885612347045347637e-01	1.054381913466154869e-01	8.700006763371929963e-02
2.040000000000000000e+02	0.000000000000000000e+00	1.510000000000000000e+02	3.108879812384884311e-01	1.351995117375379418e-01	1.970378374675190170e-01
2.040000000000000000e+02	0.000000000000000000e+00	2.040000000000000000e+02	3.483724202347120991e-01	1.850711381939395550e-01	3.870268039193484610e-01
2.040000000000000000e+02	0.000000000000000000e+00	5.100000000000000000e+01	2.748080347629672238e-01	8.763699819123235701e-02	2.244845284313936457e-02
2.040000000000000000e+02	1.020000000000000000e+02	0.000000000000000000e+00	4.126441929193938041e-01	2.247279503864057781e-01	5.753877656313387441e-03
2.040000000000000000e+02	1.020000000000000000e+02	1.020000000000000000e+02	4.384765338373719512e-01	2.537670354521048832e-01	9.179156229376089771e-02
2.040000000000000000e+02	1.020000000000000000e+02	1.510000000000000000e+02	4.622020407184744273e-01	2.853651669972781524e-01	2.045634087950701230e-01
2.040000000000000000e+02	1.020000000000000000e+02	2.040000000000000000e+02	5.006759390204488236e-01	3.367666788692670887e-01	3.941889087388104063e-01
2.040000000000000000e+02	1.020000000000000000e+02	5.100000000000000000e+01	4.217359820427816208e-01	2.330791156272661313e-01	2.564574524166582381e-02
2.040000000000000000e+02	1.510000000000000000e+02	0.000000000000000000e+00	5.912082787513376347e-01	4.044585586336535976e-01	8.697337520039601089e-03
2.040000000000000000e+02	1.510000000000000000e+02	1.020000000000000000e+02	6.198666316621788130e-01	4.368007163457562347e-01	9.502372544376128105e-02
2.040000000000000000e+02	1.510000000000000000e+02	1.510000000000000000e+02	6.460046085700149598e-01	4.705391496480721414e-01	2.082144435471109944e-01
2.040000000000000000e+02	1.510000000000000000e+02	2.040000000000000000e+02	6.849909765599913047e-01	5.229245712825619785e-01	3.968481947771360097e-01
2.040000000000000000e+02	1.510000000000000000e+02	5.100000000000000000e+01	6.023144100576706128e-01	4.149152978729812591e-01	2.843782723136197357e-02
2.040000000000000000e+02	2.040000000000000000e+02	0.000000000000000000e+00	8.992479193890611233e-01	7.153507661122286976e-01	1.359476590895203341e-02
2.040000000000000000e+02	2.040000000000000000e+02	1.020000000000000000e+02	9.305153021003763625e-01	7.504750915810909362e-01	9.983789050276165034e-02
2.040000000000000000e+02	2.040000000000000000e+02	1.510000000000000000e+02	9.570797614254622498e-01	7.849593002695107735e-01	2.139918551211437425e-01
2.040000000000000000e+02	2.040000000000000000e+02	5.100000000000000000e+01	9.116378203710192585e-01	7.277687370537923028e-01	3.321504711387243680e-02
2.040000000000000000e+02	5.100000000000000000e+01	0.000000000000000000e+00	3.035973085889988599e-01	1.154326301129497689e-01	3.160296717757949802e-03
2.040000000000000000e+02	5.100000000000000000e+01	1.020000000000000000e+02	3.259820133994296709e-01	1.413159330583235174e-01	8.926694144143655640e-02
2.040000000000000000e+02	5.100000000000000000e+01	1.510000000000000000e+02	3.487718155241422702e-01	1.716444409805457927e-01	2.016236151473957405e-01
2.040000000000000000e+02	5.100000000000000000e+01	2.040000000000000000e+02	3.859909394459333232e-01	2.216885389030901210e-01	3.906223593077808309e-01
2.040000000000000000e+02	5.100000000000000000e+01	5.100000000000000000e+01	3.107950135442327788e-01	1.222849981478709713e-01	2.362512974910859279e-02
2.200000000000000000e+02	0.000000000000000000e+00	0.000000000000000000e+00	3.120543490777511475e-01	9.114506514614381660e-02	3.998390530550894292e-10
2.540000000000000000e+02	0.000000000000000000e+00	0.000000000000000000e+00	4.302753446637751500e-01	1.259496493558537600e-01	1.619871193872902211e-04
5.100000000000000000e+01	0.000000000000000000e+00	0.000000000000000000e+00	1.264463677095638630e-02	3.629604649093906912e-03	6.639646665688290101e-12
5.100000000000000000e+01	0.000000000000000000e+00	1.020000000000000000e+02	2.880944569075516437e-02	2.549407891860768285e-02	8.127839410333306813e-02
5.100000000000000000e+01	0.000000000000000000e+00	1.510000000000000000e+02	5.092167861222608727e-02	5.532743976716014700e-02	1.921739302366742008e-01
5.100000000000000000e+01	0.000000000000000000e+00	2.040000000000000000e+02	8.740144839633612328e-02	1.048682365086255064e-01	3.811996844356672631e-01
5.100000000000000000e+01	0.000000000000000000e+00	5.100000000000000000e+01	1.579232110694568300e-02	7.766982863452369899e-03	1.765293534168226389e-02
5.100000000000000000e+01	1.020000000000000000e+02	0.000000000000000000e+00	1.505106693146566477e-01	1.425062668723275638e-01	1.263812268711951136e-03
5.100000000000000000e+01	1.020000000000000000e+02	1.020000000000000000e+02	1.719311478024505846e-01	1.698230618081838228e-01	8.551914800616230994e-02
5.100000000000000000e+01	1.020000000000000000e+02	1.510000000000000000e+02	1.949330762961455354e-01	2.007786889084622883e-01	1.970800662491494215e-01
5.100000000000000000e+01	1.020000000000000000e+02	2.040000000000000000e+02	2.323516188983096586e-01	2.515276075799521838e-01	3.865765736563807620e-01
5.100000000000000000e+01	1.020000000000000000e+02	5.100000000000000000e+01	1.565756790679117549e-01	1.498089249047759863e-01	2.043662502266526543e-02
5.100000000000000000e+01	1.510000000000000000e+02	0.000000000000000000e+00	3.254003515954992931e-01	3.195172619134911129e-01	3.200319126473424695e-03
5.100000000000000000e+01	1.510000000000000000e+02	1.020000000000000000e+02	3.498084905813498291e-01	3.498552124091471871e-01	8.869427903610116459e-02
5.100000000000000000e+01	1.510000000000000000e+02	1.510000000000000000e+02	3.746274425099218597e-01	3.830252144227377364e-01	2.007189241397033252e-01
5.100000000000000000e+01	1.510000000000000000e+02	2.040000000000000000e+02	4.129630627386985942e-01	4.350806763514830644e-01	3.901449158538816131e-01
5.100000000000000000e+01	1.510000000000000000e+02	5.100000000000000000e+01	3.338853608318108068e-01	3.293591693141608712e-01	2.307305986374866974e-02
5.100000000000000000e+01	2.040000000000000000e+02	0.000000000000000000e+00	6.309012678704756238e-01	6.292660355172947639e-01	7.821831562715380812e-03
5.100000000000000000e+01	2.040000000000000000e+02	1.020000000000000000e+02	6.577661844955763337e-01	6.624234476813997130e-01	9.380019449204869686e-02
5.100000000000000000e+01	2.040000000000000000e+02	1.510000000000000000e+02	6.835094696166680306e-01	6.964701068718468502e-01	2.066164094125731432e-01
