R	G	B	S	S_error
0.000000000000000000e+00	1.780000000000000000e+02	0.000000000000000000e+00	1.069052268558152718e+01	-2.081528319761707735e+02
0.000000000000000000e+00	2.040000000000000000e+02	0.000000000000000000e+00	1.728262945294287789e+01	-2.226916777863540631e+02
0.000000000000000000e+00	2.040000000000000000e+02	1.020000000000000000e+02	8.181819370576519646e+01	-2.167003364775944476e+02
0.000000000000000000e+00	2.040000000000000000e+02	1.530000000000000000e+02	2.722988276622261878e+02	-1.469406510990793890e+02
0.000000000000000000e+00	2.040000000000000000e+02	2.040000000000000000e+02	6.177387918062643166e+02	-1.881188618336693708e+01
0.000000000000000000e+00	2.040000000000000000e+02	5.100000000000000000e+01	2.746265066682711620e+01	-2.211541937807238583e+02
0.000000000000000000e+00	2.290000000000000000e+02	0.000000000000000000e+00	2.430991126932045887e+01	-2.391901596165214130e+02
0.000000000000000000e+00	2.540000000000000000e+02	0.000000000000000000e+00	3.381197661854276504e+01	-2.564219505122780447e+02
0.000000000000000000e+00	5.100000000000000000e+01	0.000000000000000000e+00	4.008662511481054375e-02	-1.614981630704203042e+02
0.000000000000000000e+00	5.100000000000000000e+01	1.020000000000000000e+02	5.423622830413082596e+01	-1.658462443354669631e+02
0.000000000000000000e+00	5.100000000000000000e+01	1.530000000000000000e+02	2.411038797762414845e+02	-9.969954144130227291e+01
0.000000000000000000e+00	5.100000000000000000e+01	2.040000000000000000e+02	5.856882807733314849e+02	2.757366032746210749e+01
0.000000000000000000e+00	5.100000000000000000e+01	5.100000000000000000e+01	6.045616179603550133e-01	-1.695762252858288264e+02
0.000000000000000000e+00	7.600000000000000000e+01	0.000000000000000000e+00	4.904452048344317139e-01	-1.666558873316357676e+02
1.020000000000000000e+02	0.000000000000000000e+00	0.000000000000000000e+00	7.643858355536205855e-08	-1.659538817831321751e+02
1.020000000000000000e+02	0.000000000000000000e+00	1.020000000000000000e+02	5.666715317752125713e+01	-1.678309516261122099e+02
1.020000000000000000e+02	0.000000000000000000e+00	1.530000000000000000e+02	2.446336883467573386e+02	-1.005853650348221038e+02
1.020000000000000000e+02	0.000000000000000000e+00	2.040000000000000000e+02	5.906980765994221656e+02	2.816782398951704636e+01
1.020000000000000000e+02	0.000000000000000000e+00	5.100000000000000000e+01	9.254551808220846665e-01	-1.736709638870027277e+02
1.020000000000000000e+02	1.020000000000000000e+02	0.000000000000000000e+00	1.134493483075979839e+03	9.502049516314077664e+02
1.020000000000000000e+02	1.020000000000000000e+02	1.020000000000000000e+02	6.532703112384818667e+01	-1.775057232647865249e+02
1.020000000000000000e+02	1.020000000000000000e+02	1.530000000000000000e+02	2.591823222992132401e+02	-1.043713806673674185e+02
1.020000000000000000e+02	1.020000000000000000e+02	2.040000000000000000e+02	6.084205973691476856e+02	2.755569517424135029e+01
1.020000000000000000e+02	1.020000000000000000e+02	5.100000000000000000e+01	6.959703176269378844e+00	-1.859713654765567128e+02
1.020000000000000000e+02	1.530000000000000000e+02	0.000000000000000000e+00	1.145352306709170534e+03	9.352016431534932508e+02
1.020000000000000000e+02	1.530000000000000000e+02	1.020000000000000000e+02	7.427898095437616632e+01	-1.944159055453637848e+02
1.020000000000000000e+02	1.530000000000000000e+02	1.530000000000000000e+02	2.694051072978887760e+02	-1.200107277797971506e+02
1.020000000000000000e+02	1.530000000000000000e+02	2.040000000000000000e+02	6.217684834703006800e+02	1.504144916428913348e+01
1.020000000000000000e+02	1.530000000000000000e+02	5.100000000000000000e+01	1.774998014419934123e+01	-2.010432206197319829e+02
1.020000000000000000e+02	2.040000000000000000e+02	0.000000000000000000e+00	1.157642299822618725e+03	9.091782056454405847e+02
1.020000000000000000e+02	2.040000000000000000e+02	1.020000000000000000e+02	8.752408778479323814e+01	-2.194842293364475552e+02
1.020000000000000000e+02	2.040000000000000000e+02	1.530000000000000000e+02	2.817442872692420224e+02	-1.459849784299447037e+02
1.020000000000000000e+02	2.040000000000000000e+02	2.040000000000000000e+02	6.354010585656408239e+02	-9.639406361871579065e+00
1.020000000000000000e+02	2.040000000000000000e+02	5.100000000000000000e+01	3.131749375381434675e+01	-2.257891376316177912e+02
1.020000000000000000e+02	5.100000000000000000e+01	0.000000000000000000e+00	1.123744559035834300e+03	9.537165224024180361e+02
1.020000000000000000e+02	5.100000000000000000e+01	1.020000000000000000e+02	6.005961633258434773e+01	-1.685126432448946332e+02
1.020000000000000000e+02	5.100000000000000000e+01	1.530000000000000000e+02	2.509077195012688719e+02	-9.838548865415609157e+01
1.020000000000000000e+02	5.100000000000000000e+01	2.040000000000000000e+02	5.991821648206914688e+02	3.257775743694082848e+01
1.020000000000000000e+02	5.100000000000000000e+01	5.100000000000000000e+01	1.780486714121571890e+00	-1.768900871275487816e+02
