R G B L_integral M_integral S_integral
102 102 204 835.8637872308013 792.3586056949241 1145.575042239618
102 102 51 608.6870414543213 490.21258502595975 62.53936446690869
102 151 0 1107.673566830108 991.7157021408312 11.019970342782072
102 151 102 1182.342192519003 1082.9471403027278 266.11460728509024
102 151 151 1256.590731301378 1180.341296225245 598.3488358812095
102 151 204 1368.9118021729184 1332.4779807351783 1153.8315823055352
102 151 51 1132.0355076847113 1018.909564324424 72.34521755581345
102 204 0 2001.3021565905415 1898.1442565063385 27.622380432490484
102 204 102 2087.186069043401 1998.5571766820558 280.4441433093597
102 204 151 2161.3154812920484 2097.092154287361 612.1138581322028
102 204 204 2280.739514828156 2258.06759202624 1170.8924636469546
102 204 51 2034.739411209884 1934.140586672438 84.74478524641457
102 51 0 272.8532038907533 150.33889163849176 0.5498138123765173
102 51 102 329.69872094978615 222.15145748704208 248.19162620903728
102 51 151 396.2090741887254 311.57919260132996 577.0965504335358
102 51 204 502.9717237364055 456.7122271055787 1132.0213549988875
102 51 51 286.51107276682967 167.0127757452699 57.84603146521173
125 0 0 248.42493626160828 71.51772890217009 1.918415194019194e-07
140 0 0 328.08903672283134 95.03953752785223 2.924631280097966e-07
151 0 0 396.5622523416176 116.58451486080331 1.3323647684729136
151 0 102 455.2464150149893 189.31652700863395 247.63576369323053
151 0 151 521.2835555976192 277.9223779649758 575.2465435237075
151 0 204 627.7761863482206 422.74335409221857 1129.8628348834882
151 0 51 411.5164942135487 135.17529796627815 58.81980219781488
151 102 0 818.4534107731286 538.921804529299 8.330162219378352
151 102 102 891.3997997902022 623.7803813652496 262.9488801719996
151 102 151 962.1658349683323 717.121050626163 594.700503261469
151 102 204 1071.601565585382 865.9839840625073 1150.1918021763452
151 102 51 841.1954374112031 562.5084170997688 67.6631060676114
151 151 0 1337.9440929973734 1063.0540739179835 17.07838861217532
151 151 102 1421.0552298617245 1158.4158324859832 271.7561142840253
151 151 151 1494.3441607862446 1255.338427185733 605.0780440345118
151 151 204 1609.7283865030033 1410.363195062932 1162.6765219937151
151 151 51 1367.672262949068 1093.844342710069 76.46676513368324
151 204 0 2237.52674863386 1973.6475790743434 32.126732288496406
151 204 102 2326.2031665398963 2075.3021759546664 285.74333015078554
151 204 151 2403.118041955387 2175.9759586072755 618.901592838859
151 204 204 2524.731323268326 2337.0409700060254 1176.8765663817378
151 204 51 2272.3558239697727 2009.29995076762 90.85375150186835
151 51 0 501.02880993227836 220.71966819277594 2.106142574521044
151 51 102 561.0733185291625 293.7325646054619 254.67278390440228
151 51 151 629.025760708447 383.8863573800419 584.7537634223912
151 51 204 736.6858794246411 529.9951881302229 1140.0877052412575
151 51 51 518.3311480899241 239.34824340394675 62.52326700643535
176 0 0 554.8599037025848 161.4232709587491 5.882295581700659e-07
204 0 0 788.245976277789 238.2399127961733 8.74883134949201
204 0 102 847.4548236860469 309.65387276954806 255.50426776036073
204 0 151 913.0246465584379 397.0577631444211 578.6663131709014
204 0 204 1023.1100108418334 543.522171119461 1136.6313018901542
204 0 51 807.0640357704971 257.37482349827945 65.92725341533287
204 102 0 1211.8651769481096 659.9874226593241 16.898151200853306
204 102 102 1287.7303288991627 745.2702318334472 269.5760652645401
204 102 151 1357.4080708570323 838.0685213363389 600.7676246275729
204 102 204 1470.3993073112274 989.0259402192852 1157.6651745903903
204 102 51 1238.5662012781468 684.5133617516382 75.31715247311992
204 151 0 1736.27725201535 1187.8253738626975 25.542587666462364
204 151 102 1820.441916191594 1282.8087405287035 279.06837373491646
204 151 151 1897.2046685918635 1381.8927289755004 611.4900871067432
204 151 204 2011.700940570095 1535.7397219731297 1165.4750413004754
204 151 51 1768.8940536369528 1218.5350224316364 83.51701810204861
204 204 0 2640.936811059207 2100.862432162966 39.925494352076164
204 204 102 2732.7637479999 2204.0165480572387 293.20675031016253
204 204 151 2810.779006067071 2305.290750823666 628.4573533850667
204 204 51 2677.3238238986273 2137.331881656404 97.54689303444458
204 51 0 891.6131922061157 339.0058241889315 9.281249092538166
204 51 102 957.3532285897684 415.02064286838436 262.16168709461255
204 51 151 1024.2829662629995 504.0902656824284 592.1339552093151
204 51 204 1133.5891457059408 651.0611927541187 1147.190830999729
204 51 51 912.751616395448 359.13005310974296 69.3829515478441
220 0 0 916.4500687312656 267.67741409329614 1.174258678774193e-06
254 0 0 1263.6448437776328 369.8925047831697 0.4757283695446059
51 0 0 37.1351281341622 10.659525944631657 1.9499502766440352e-08
51 0 102 84.60839774043282 74.87173451114747 238.70069455050995
51 0 151 149.54823094761122 162.48719534655584 564.3818523736587
51 0 204 256.6830541755308 307.98001322555086 1119.5180520120236
51 0 51 46.37933682597239 22.81029570676472 51.84364151631291
51 102 0 442.0240052601799 418.51644899600655 3.7115997387874993
51 102 102 504.9322744139744 498.74118763679314 251.15506096843126
51 102 151 572.4849908279543 589.652551851112 578.7903318552812
51 102 204 682.3768287110818 738.6934165016996 1135.3090528759647
51 102 51 459.835898033517 439.9631023611573 60.01886037483217
51 151 0 955.644987695944 938.3673629508864 9.398788038322733
51 151 102 1027.3275029926997 1027.464716982579 260.47987588999234
51 151 151 1100.2165053988497 1124.8793202880986 589.4770329820473
51 151 204 1212.8016428832323 1277.7572782573689 1145.788661514079
51 151 51 980.564003632702 967.2713559266203 67.76161704032053
51 204 0 1852.8487489801942 1848.0463521961299 22.97137692341164
51 204 102 1931.7463985732747 1945.4239812743701 275.47507331110967
51 204 151 2007.3500089325548 2045.4131762571355 606.7969351069061
51 204 204 2125.137720804385 2203.970781352765 1164.157250128746
