Wavelength	Real Intensity
567.830000	27277.717500
568.190000	26635.332500
568.540000	26338.995000
568.900000	26232.705000
569.250000	26634.722500
569.610000	26590.005000
569.970000	26384.392500
570.320000	26127.235000
570.680000	25343.885000
571.030000	25082.497500
571.390000	25365.320000
571.740000	26039.992500
572.100000	26400.637500
572.450000	26659.230000
572.810000	26482.490000
573.160000	26499.417500
573.520000	26366.027500
573.870000	26285.882500
574.230000	26196.522500
574.580000	25853.010000
574.940000	25393.312500
575.290000	24983.782500
575.650000	24911.697500
576.000000	24853.535000
576.360000	25039.967500
576.710000	25071.982500
577.070000	25092.190000
577.420000	25001.260000
577.780000	24523.265000
578.130000	24166.032500
578.480000	23874.810000
578.840000	24202.280000
579.190000	24246.040000
579.550000	24287.477500
579.900000	24240.237500
580.260000	24366.595000
580.610000	24174.155000
580.960000	24075.102500
581.320000	23989.497500
581.670000	24055.917500
582.030000	24185.690000
582.380000	24201.530000
582.730000	24277.510000
583.090000	23885.187500
583.440000	23868.122500
583.790000	23660.117500
584.150000	23864.570000
584.500000	23773.777500
584.860000	23516.345000
585.210000	23011.317500
585.560000	22439.525000
585.920000	22322.245000
586.270000	22383.957500
586.620000	22831.235000
586.980000	22897.795000
587.330000	22925.642500
587.680000	22550.525000
588.040000	22408.462500
588.390000	21746.017500
588.740000	20247.450000
589.090000	19540.830000
589.450000	19085.427500
589.800000	20165.802500
590.150000	20948.810000
590.510000	21635.082500
590.860000	21728.672500
591.210000	21497.322500
591.560000	21530.430000
591.920000	21349.322500
592.270000	21574.325000
592.620000	21706.422500
592.970000	21482.167500
593.330000	21401.067500
593.680000	21664.030000
594.030000	21481.007500
594.380000	21382.157500
594.740000	21060.765000
595.090000	21136.470000
595.440000	21250.337500
595.790000	21650.987500
596.140000	21730.652500
596.500000	21703.350000
596.850000	21740.350000
597.200000	21723.420000
597.550000	21551.460000
597.900000	21498.687500
598.260000	21347.005000
598.610000	21399.430000
598.960000	21478.755000
599.310000	21811.140000
599.660000	21793.867500
600.010000	21762.602500
600.370000	21692.630000
600.720000	21465.512500
601.070000	21405.780000
601.420000	21511.320000
601.770000	21409.807500
602.120000	21341.815000
602.470000	21682.665000
602.830000	22048.570000
603.180000	22156.152500
603.530000	22313.505000
603.880000	22423.617500
604.230000	22340.267500
604.580000	22616.675000
604.930000	22580.220000
605.280000	22461.235000
605.630000	22539.400000
605.980000	22564.722500
606.330000	22459.120000
606.690000	22667.395000
607.040000	22770.412500
607.390000	22788.362500
607.740000	22638.792500
608.090000	22493.660000
608.440000	22607.935000
608.790000	22591.277500
609.140000	22889.052500
609.490000	22767.472500
609.840000	22497.345000
610.190000	22463.077500
610.540000	22506.152500
610.890000	22910.355000
611.240000	23079.860000
611.590000	22994.252500
611.940000	22781.127500
612.290000	22764.470000
612.640000	22931.242500
612.990000	23097.742500
613.340000	22686.032500
613.690000	22523.012500
614.040000	22701.185000
614.390000	23103.065000
614.740000	23302.195000
615.090000	23275.575000
