wavelength(nm),Relative Transmission
356.70538542766633,87.95180722891565
357.60084477296726,87.95180722891565
358.4963041182682,87.95180722891565
359.3917634635692,88.0617469879518
360.2872228088701,88.0617469879518
361.18268215417106,88.17168674698796
362.07814149947205,88.17168674698796
362.97360084477293,88.17168674698796
363.8690601900739,88.0617469879518
364.7645195353749,88.0617469879518
365.6599788806758,87.95180722891565
366.5554382259768,87.95180722891565
367.4508975712777,87.95180722891565
368.34635691657866,87.95180722891565
369.24181626187965,87.95180722891565
370.1372756071806,87.95180722891565
371.0327349524815,87.95180722891565
371.9281942977825,87.95180722891565
372.8236536430834,87.95180722891565
373.7191129883844,87.95180722891565
374.6145723336853,87.95180722891565
375.51003167898625,88.0617469879518
376.40549102428724,88.0617469879518
377.3009503695882,88.0617469879518
378.1964097148891,88.0617469879518
