Wavelength	Ganancia relativa	error
426.030000	0.365431	0.014035
426.400000	0.366736	0.006973
426.551214	0.368246	0.006346
426.780000	0.369734	0.006203
427.000000	0.371126	0.002187
427.150000	0.372417	0.007926
427.446674	0.373558	0.011713
427.520000	0.374707	0.013515
427.900000	0.375834	0.003772
428.000000	0.377094	0.003574
428.270000	0.378383	0.028648
428.342133	0.379773	0.026704
428.640000	0.381090	0.023099
429.000000	0.382413	0.021960
429.020000	0.383735	0.021196
429.237592	0.384900	0.029017
429.390000	0.386110	0.034405
429.760000	0.387162	0.024439
430.000000	0.387990	0.017140
430.130000	0.388623	0.006028
430.133052	0.388958	0.005432
430.510000	0.389378	0.027173
430.880000	0.389827	0.038137
431.000000	0.390340	0.025037
431.028511	0.391238	0.025846
431.250000	0.392185	0.026215
431.620000	0.393086	0.017847
431.923970	0.393988	0.024232
432.000000	0.394815	0.025028
432.370000	0.395342	0.032426
432.740000	0.395853	0.011124
432.819430	0.396371	0.013043
433.000000	0.396894	0.018026
433.110000	0.397330	0.024581
433.480000	0.397789	0.060975
433.714889	0.398261	0.047070
433.860000	0.398717	0.038143
434.000000	0.399163	0.028409
434.230000	0.399643	0.000978
434.600000	0.400190	0.010709
434.610348	0.400739	0.010678
434.970000	0.401258	0.027753
435.000000	0.401469	0.028053
435.350000	0.401607	0.020980
435.505808	0.401721	0.013966
435.720000	0.401856	0.004757
436.000000	0.402053	0.006400
436.090000	0.402363	0.011263
436.401267	0.402752	0.020599
436.460000	0.403080	0.022106
436.830000	0.403459	0.024400
437.000000	0.403424	0.017949
437.210000	0.403392	0.016621
437.296727	0.403215	0.015704
437.580000	0.403012	0.012280
437.950000	0.402721	0.022222
438.000000	0.402326	0.020967
438.192186	0.401862	0.005059
438.320000	0.401542	0.005365
438.690000	0.401338	0.022984
439.000000	0.401344	0.016574
439.060000	0.401397	0.015535
439.087645	0.401961	0.014953
439.440000	0.402642	0.001313
439.810000	0.403163	0.004544
439.983105	0.403670	0.000908
440.000000	0.404088	0.000186
440.180000	0.403933	0.003518
440.550000	0.403710	0.019918
440.878564	0.403474	0.021540
440.920000	0.403133	0.021432
441.000000	0.403099	0.019371
441.290000	0.403050	0.016093
441.660000	0.402935	0.016859
441.774023	0.402785	0.017518
